"Media" "Media.Detailed" "year" "spendings"
"1378" "Coupons & Retail-Value-Added" "Coupons" 2013 248833
"1379" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2013 0
"1380" "Internet" "Internet" 2013 0
"1381" "Price Discounts" "Price Discounts" 2013 7642441
"1382" "Promotional Allowances" "Promotional Allowances _ Retailers" 2013 291334
"1383" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2013 397182
"1384" "Promotional Allowances" "Promotional Allowances _  Other" 2013 548
"1385" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2013 2974
"1386" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2013 29504
"1387" "Public Entertainment" "Public Entertainment _ Adult-Only" 2013 104647
"1388" "Public Entertainment" "Public Entertainment _ General-Audience" 2013 0
"1389" "Sponsorships" "Sponsorships" 2013 0
"1390" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2013 0
"1391" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2013 0
"1392" "Internet" "Company Website" 2013 15402
"1393" "Internet" "Internet _ Other" 2013 NA
"1394" "Telephone" "Telephone" 2013 NA
"1395" "Price Discounts" "Price Discounts - Retailers" 2013 0
"1396" "Price Discounts" "Price Discounts - Wholesalers" 2013 0
"1397" "Audio-Visual" "Audio-Visual" 2013 0
"1398" "Socail Media" "Socail Media" 2013 0
"1399" "Other" "Other" 2013 68489
"1400" "Total" "Total" 2013 8948210
"1401" "Newspapers" "Newspapers" 2014 NA
"1402" "Magazines" "Magazines" 2014 49972
"1403" "Outdoor" "Outdoor" 2014 2207
"1404" "Transit" "Transit" 2014 0
"1405" "Point-of-Sale" "Point-of-Sale" 2014 238181
"1406" "Promotional Allowances" "Promotional Allowances" 2014 0
"1407" "Sampling Distribution" "Sampling Distribution" 2014 NA
"1408" "Specialty Item Distribution" "Specialty Item Distribution" 2014 0
"1409" "Public Entertainment" "Public Entertainment" 2014 0
"1410" "Direct Mail" "Direct Mail" 2014 46193
"1411" "Endorsements & Testimonials" "Endorsements & Testimonials" 2014 0
"1412" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 2014 0
"1413" "Coupons & Retail-Value-Added" "Coupons" 2014 521035
"1414" "Coupons & Retail-Value-Added" "Retail-Value-Added" 2014 0
"1415" "Internet" "Internet" 2014 0
"1416" "Price Discounts" "Price Discounts" 2014 0
"1417" "Promotional Allowances" "Promotional Allowances _ Retailers" 2014 260254
"1418" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 2014 363300
"1419" "Promotional Allowances" "Promotional Allowances _  Other" 2014 632
"1420" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 2014 1486
"1421" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 2014 37747
"1422" "Public Entertainment" "Public Entertainment _ Adult-Only" 2014 104898
"1423" "Public Entertainment" "Public Entertainment _ General-Audience" 2014 0
"1424" "Sponsorships" "Sponsorships" 2014 0
"1425" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 2014 0
"1426" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 2014 0
"1427" "Internet" "Company Website" 2014 16632
"1428" "Internet" "Internet _ Other" 2014 NA
"1429" "Telephone" "Telephone" 2014 65
"1430" "Price Discounts" "Price Discounts - Retailers" 2014 5562788
"1431" "Price Discounts" "Price Discounts - Wholesalers" 2014 1201301
"1432" "Audio-Visual" "Audio-Visual" 2014 0
"1433" "Socail Media" "Socail Media" 2014 0
"1434" "Other" "Other" 2014 82542
"1435" "Total" "Total" 2014 8489234
