"Media" "Media.Detailed" "year" "spendings"
"194" "Promotional Allowances" "Promotional Allowances _  Other" 1979 0
"195" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1979 0
"196" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1979 0
"197" "Public Entertainment" "Public Entertainment _ Adult-Only" 1979 0
"198" "Public Entertainment" "Public Entertainment _ General-Audience" 1979 0
"199" "Sponsorships" "Sponsorships" 1979 NA
"200" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1979 0
"201" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1979 0
"202" "Internet" "Company Website" 1979 0
"203" "Internet" "Internet _ Other" 1979 0
"204" "Telephone" "Telephone" 1979 NA
"205" "Price Discounts" "Price Discounts - Retailers" 1979 0
"206" "Price Discounts" "Price Discounts - Wholesalers" 1979 0
"207" "Audio-Visual" "Audio-Visual" 1979 0
"208" "Socail Media" "Socail Media" 1979 0
"209" "Other" "Other" 1979 6031
"210" "Total" "Total" 1979 1083425
"211" "Newspapers" "Newspapers" 1980 30438
"212" "Magazines" "Magazines" 1980 266208
"213" "Outdoor" "Outdoor" 1980 193333
"214" "Transit" "Transit" 1980 2616
"215" "Point-of-Sale" "Point-of-Sale" 1980 79799
"216" "Promotional Allowances" "Promotional Allowances" 1980 179094
"217" "Sampling Distribution" "Sampling Distribution" 1980 50459
"218" "Specialty Item Distribution" "Specialty Item Distribution" 1980 69248
"219" "Public Entertainment" "Public Entertainment" 1980 16914
"220" "Direct Mail" "Direct Mail" 1980 NA
"221" "Endorsements & Testimonials" "Endorsements & Testimonials" 1980 NA
"222" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1980 NA
"223" "Coupons & Retail-Value-Added" "Coupons" 1980 0
"224" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1980 0
"225" "Internet" "Internet" 1980 NA
"226" "Price Discounts" "Price Discounts" 1980 NA
"227" "Promotional Allowances" "Promotional Allowances _ Retailers" 1980 0
"228" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1980 0
"229" "Promotional Allowances" "Promotional Allowances _  Other" 1980 0
"230" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1980 0
"231" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1980 0
"232" "Public Entertainment" "Public Entertainment _ Adult-Only" 1980 0
"233" "Public Entertainment" "Public Entertainment _ General-Audience" 1980 0
"234" "Sponsorships" "Sponsorships" 1980 NA
"235" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1980 0
"236" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1980 0
"237" "Internet" "Company Website" 1980 0
"238" "Internet" "Internet _ Other" 1980 0
"239" "Telephone" "Telephone" 1980 NA
"240" "Price Discounts" "Price Discounts - Retailers" 1980 0
"241" "Price Discounts" "Price Discounts - Wholesalers" 1980 0
"242" "Audio-Visual" "Audio-Visual" 1980 0
"243" "Socail Media" "Socail Media" 1980 0
"244" "Other" "Other" 1980 56694
"245" "Total" "Total" 1980 1242289
"246" "Newspapers" "Newspapers" 1981 358096
"247" "Magazines" "Magazines" 1981 291227
"248" "Outdoor" "Outdoor" 1981 228081
"249" "Transit" "Transit" 1981 21931
"250" "Point-of-Sale" "Point-of-Sale" 1981 98968
"251" "Promotional Allowances" "Promotional Allowances" 1981 229077
"252" "Sampling Distribution" "Sampling Distribution" 1981 81522
"253" "Specialty Item Distribution" "Specialty Item Distribution" 1981 115107
"254" "Public Entertainment" "Public Entertainment" 1981 37423
"255" "Direct Mail" "Direct Mail" 1981 NA
"256" "Endorsements & Testimonials" "Endorsements & Testimonials" 1981 NA
"257" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1981 NA
"258" "Coupons & Retail-Value-Added" "Coupons" 1981 0
"259" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1981 0
"260" "Internet" "Internet" 1981 NA
"261" "Price Discounts" "Price Discounts" 1981 NA
"262" "Promotional Allowances" "Promotional Allowances _ Retailers" 1981 0
"263" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1981 0
"264" "Promotional Allowances" "Promotional Allowances _  Other" 1981 0
"265" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1981 0
"266" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1981 0
"267" "Public Entertainment" "Public Entertainment _ Adult-Only" 1981 0
"268" "Public Entertainment" "Public Entertainment _ General-Audience" 1981 0
"269" "Sponsorships" "Sponsorships" 1981 NA
"270" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1981 0
"271" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1981 0
"272" "Internet" "Company Website" 1981 0
"273" "Internet" "Internet _ Other" 1981 0
"274" "Telephone" "Telephone" 1981 NA
"275" "Price Discounts" "Price Discounts - Retailers" 1981 0
"276" "Price Discounts" "Price Discounts - Wholesalers" 1981 0
"277" "Audio-Visual" "Audio-Visual" 1981 0
"278" "Socail Media" "Socail Media" 1981 0
"279" "Other" "Other" 1981 86226
"280" "Total" "Total" 1981 1547658
"281" "Newspapers" "Newspapers" 1982 282897
"282" "Magazines" "Magazines" 1982 349229
"283" "Outdoor" "Outdoor" 1982 266925
"284" "Transit" "Transit" 1982 24135
"285" "Point-of-Sale" "Point-of-Sale" 1982 116954
"286" "Promotional Allowances" "Promotional Allowances" 1982 272269
"287" "Sampling Distribution" "Sampling Distribution" 1982 141178
"288" "Specialty Item Distribution" "Specialty Item Distribution" 1982 95246
"289" "Public Entertainment" "Public Entertainment" 1982 63168
"290" "Direct Mail" "Direct Mail" 1982 NA
"291" "Endorsements & Testimonials" "Endorsements & Testimonials" 1982 NA
"292" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1982 NA
"293" "Coupons & Retail-Value-Added" "Coupons" 1982 0
"294" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1982 0
"295" "Internet" "Internet" 1982 NA
"296" "Price Discounts" "Price Discounts" 1982 NA
"297" "Promotional Allowances" "Promotional Allowances _ Retailers" 1982 0
"298" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1982 0
"299" "Promotional Allowances" "Promotional Allowances _  Other" 1982 0
"300" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1982 0
"301" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1982 0
"302" "Public Entertainment" "Public Entertainment _ Adult-Only" 1982 0
"303" "Public Entertainment" "Public Entertainment _ General-Audience" 1982 0
"304" "Sponsorships" "Sponsorships" 1982 NA
"305" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Bonus Cigarettes" 1982 0
"306" "Coupons & Retail-Value-Added" "Retail-Value-Added _ Non-Cigarette Bonus" 1982 0
"307" "Internet" "Company Website" 1982 0
"308" "Internet" "Internet _ Other" 1982 0
"309" "Telephone" "Telephone" 1982 NA
"310" "Price Discounts" "Price Discounts - Retailers" 1982 0
"311" "Price Discounts" "Price Discounts - Wholesalers" 1982 0
"312" "Audio-Visual" "Audio-Visual" 1982 0
"313" "Socail Media" "Socail Media" 1982 0
"314" "Other" "Other" 1982 181813
"315" "Total" "Total" 1982 1793814
"316" "Newspapers" "Newspapers" 1983 200563
"317" "Magazines" "Magazines" 1983 388365
"318" "Outdoor" "Outdoor" 1983 295226
"319" "Transit" "Transit" 1983 26652
"320" "Point-of-Sale" "Point-of-Sale" 1983 170059
"321" "Promotional Allowances" "Promotional Allowances" 1983 366153
"322" "Sampling Distribution" "Sampling Distribution" 1983 125968
"323" "Specialty Item Distribution" "Specialty Item Distribution" 1983 127186
"324" "Public Entertainment" "Public Entertainment" 1983 76648
"325" "Direct Mail" "Direct Mail" 1983 NA
"326" "Endorsements & Testimonials" "Endorsements & Testimonials" 1983 NA
"327" "Coupons & Retail-Value-Added" "Coupons & Retail-Value-Added" 1983 NA
"328" "Coupons & Retail-Value-Added" "Coupons" 1983 0
"329" "Coupons & Retail-Value-Added" "Retail-Value-Added" 1983 0
"330" "Internet" "Internet" 1983 NA
"331" "Price Discounts" "Price Discounts" 1983 NA
"332" "Promotional Allowances" "Promotional Allowances _ Retailers" 1983 0
"333" "Promotional Allowances" "Promotional Allowances _ Wholesalers" 1983 0
"334" "Promotional Allowances" "Promotional Allowances _  Other" 1983 0
"335" "Specialty Item Distribution" "Specialty Item Distribution _ Branded" 1983 0
"336" "Specialty Item Distribution" "Specialty Item Distribution - Non-Branded" 1983 0
"337" "Public Entertainment" "Public Entertainment _ Adult-Only" 1983 0
"338" "Public Entertainment" "Public Entertainment _ General-Audience" 1983 0
"339" "Sponsorships" "Sponsorships" 1983 NA
